Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Wed Dec 2 2015,10:30p,Indiana Pacers,103,Los Angeles Clippers,91,Box Score,,19060,
Thu Dec 3 2015,7:00p,Oklahoma City Thunder,95,Miami Heat,97,Box Score,,19600,
Thu Dec 3 2015,7:30p,Denver Nuggets,106,Toronto Raptors,105,Box Score,,19800,
Thu Dec 3 2015,9:00p,Orlando Magic,103,Utah Jazz,94,Box Score,,19247,
Thu Dec 3 2015,9:30p,San Antonio Spurs,103,Memphis Grizzlies,83,Box Score,,17013,
Thu Dec 3 2015,10:00p,Indiana Pacers,111,Portland Trail Blazers,123,Box Score,,19206,
Thu Dec 3 2015,10:00p,Boston Celtics,114,Sacramento Kings,97,Box Score,,18660,at Mexico City Mexico
Fri Dec 4 2015,7:00p,Brooklyn Nets,91,New York Knicks,108,Box Score,,19812,
Fri Dec 4 2015,7:00p,Phoenix Suns,106,Washington Wizards,109,Box Score,,17255,
Fri Dec 4 2015,7:30p,Milwaukee Bucks,95,Detroit Pistons,102,Box Score,,16963,
Fri Dec 4 2015,8:00p,Los Angeles Lakers,87,Atlanta Hawks,100,Box Score,,19051,
Fri Dec 4 2015,8:30p,Houston Rockets,100,Dallas Mavericks,96,Box Score,,20339,
Fri Dec 4 2015,9:30p,Cleveland Cavaliers,108,New Orleans Pelicans,114,Box Score,OT,17906,
Sat Dec 5 2015,1:00p,Denver Nuggets,108,Philadelphia 76ers,105,Box Score,,15677,
Sat Dec 5 2015,5:00p,Golden State Warriors,112,Toronto Raptors,109,Box Score,,20160,
Sat Dec 5 2015,8:00p,Charlotte Hornets,102,Chicago Bulls,96,Box Score,,21770,
Sat Dec 5 2015,8:00p,Sacramento Kings,113,Houston Rockets,120,Box Score,,17318,
Sat Dec 5 2015,8:00p,Cleveland Cavaliers,84,Miami Heat,99,Box Score,,19600,
Sat Dec 5 2015,8:00p,Portland Trail Blazers,109,Minnesota Timberwolves,103,Box Score,,16203,
Sat Dec 5 2015,8:30p,New York Knicks,91,Milwaukee Bucks,106,Box Score,,16223,
Sat Dec 5 2015,8:30p,Boston Celtics,105,San Antonio Spurs,108,Box Score,,18418,
Sat Dec 5 2015,9:00p,Indiana Pacers,119,Utah Jazz,122,Box Score,OT,19500,
Sat Dec 5 2015,10:30p,Orlando Magic,101,Los Angeles Clippers,103,Box Score,,19146,
Sun Dec 6 2015,3:30p,Phoenix Suns,93,Memphis Grizzlies,95,Box Score,,16022,
Sun Dec 6 2015,6:00p,Golden State Warriors,114,Brooklyn Nets,98,Box Score,,17732,
Sun Dec 6 2015,6:00p,Los Angeles Lakers,91,Detroit Pistons,111,Box Score,,20228,
Sun Dec 6 2015,6:00p,Dallas Mavericks,116,Washington Wizards,104,Box Score,,16394,
Sun Dec 6 2015,7:00p,Sacramento Kings,95,Oklahoma City Thunder,98,Box Score,,18203,
Mon Dec 7 2015,7:00p,Detroit Pistons,84,Charlotte Hornets,104,Box Score,,15481,
Mon Dec 7 2015,7:00p,San Antonio Spurs,119,Philadelphia 76ers,68,Box Score,,14449,
Mon Dec 7 2015,7:30p,Washington Wizards,114,Miami Heat,103,Box Score,,19600,
Mon Dec 7 2015,7:30p,Dallas Mavericks,104,New York Knicks,97,Box Score,,19812,
Mon Dec 7 2015,7:30p,Los Angeles Lakers,93,Toronto Raptors,102,Box Score,,20163,
Mon Dec 7 2015,8:00p,Phoenix Suns,103,Chicago Bulls,101,Box Score,,21337,
Mon Dec 7 2015,8:00p,Portland Trail Blazers,88,Milwaukee Bucks,90,Box Score,,14389,
Mon Dec 7 2015,8:00p,Los Angeles Clippers,110,Minnesota Timberwolves,106,Box Score,,11467,
Mon Dec 7 2015,8:00p,Boston Celtics,111,New Orleans Pelicans,93,Box Score,,15715,
Tue Dec 8 2015,7:00p,Portland Trail Blazers,100,Cleveland Cavaliers,105,Box Score,,20562,
Tue Dec 8 2015,7:00p,Golden State Warriors,131,Indiana Pacers,123,Box Score,,18165,
Tue Dec 8 2015,7:30p,Houston Rockets,105,Brooklyn Nets,110,Box Score,,13319,
Tue Dec 8 2015,8:00p,Oklahoma City Thunder,125,Memphis Grizzlies,88,Box Score,,16415,
Tue Dec 8 2015,9:00p,Orlando Magic,85,Denver Nuggets,74,Box Score,,13925,
Tue Dec 8 2015,10:00p,Utah Jazz,106,Sacramento Kings,114,Box Score,,16505,
Wed Dec 9 2015,7:00p,Chicago Bulls,100,Boston Celtics,105,Box Score,,17318,
Wed Dec 9 2015,7:00p,Miami Heat,81,Charlotte Hornets,99,Box Score,,17404,
Wed Dec 9 2015,7:00p,Houston Rockets,109,Washington Wizards,103,Box Score,,16041,
Wed Dec 9 2015,7:30p,Memphis Grizzlies,93,Detroit Pistons,92,Box Score,,13411,
Wed Dec 9 2015,7:30p,San Antonio Spurs,94,Toronto Raptors,97,Box Score,,19800,
Wed Dec 9 2015,8:00p,Los Angeles Clippers,109,Milwaukee Bucks,95,Box Score,,14224,
Wed Dec 9 2015,8:00p,Los Angeles Lakers,122,Minnesota Timberwolves,123,Box Score,OT,18076,
Wed Dec 9 2015,9:00p,Orlando Magic,104,Phoenix Suns,107,Box Score,,17637,
Wed Dec 9 2015,9:00p,New York Knicks,85,Utah Jazz,106,Box Score,,18586,
Wed Dec 9 2015,9:30p,Atlanta Hawks,98,Dallas Mavericks,95,Box Score,,19936,
Thu Dec 10 2015,7:30p,Philadelphia 76ers,91,Brooklyn Nets,100,Box Score,,13266,
Thu Dec 10 2015,8:00p,Los Angeles Clippers,80,Chicago Bulls,83,Box Score,,21491,
Thu Dec 10 2015,8:00p,Atlanta Hawks,94,Oklahoma City Thunder,107,Box Score,,18203,
Thu Dec 10 2015,10:30p,New York Knicks,97,Sacramento Kings,99,Box Score,,17317,
Fri Dec 11 2015,7:00p,Miami Heat,83,Indiana Pacers,96,Box Score,,16184,
Fri Dec 11 2015,7:00p,Cleveland Cavaliers,111,Orlando Magic,76,Box Score,,17239,
Fri Dec 11 2015,7:00p,Detroit Pistons,107,Philadelphia 76ers,95,Box Score,,17239,
Fri Dec 11 2015,7:30p,Golden State Warriors,124,Boston Celtics,119,Box Score,2OT,18624,
Fri Dec 11 2015,7:30p,Milwaukee Bucks,83,Toronto Raptors,90,Box Score,,19800,
Fri Dec 11 2015,8:00p,Charlotte Hornets,123,Memphis Grizzlies,99,Box Score,,17111,
Fri Dec 11 2015,8:00p,Washington Wizards,105,New Orleans Pelicans,107,Box Score,,16875,
Fri Dec 11 2015,9:00p,Minnesota Timberwolves,108,Denver Nuggets,111,Box Score,OT,12533,
Fri Dec 11 2015,9:00p,Oklahoma City Thunder,94,Utah Jazz,90,Box Score,,19911,
Fri Dec 11 2015,9:30p,Portland Trail Blazers,106,Phoenix Suns,96,Box Score,,17028,
Fri Dec 11 2015,9:30p,Los Angeles Lakers,87,San Antonio Spurs,109,Box Score,,18418,
Sat Dec 12 2015,5:00p,Los Angeles Clippers,105,Brooklyn Nets,100,Box Score,,15689,
Sat Dec 12 2015,7:00p,Boston Celtics,98,Charlotte Hornets,93,Box Score,,18490,
Sat Dec 12 2015,7:30p,Indiana Pacers,96,Detroit Pistons,118,Box Score,,14858,
Sat Dec 12 2015,8:00p,San Antonio Spurs,103,Atlanta Hawks,78,Box Score,,17752,
Sat Dec 12 2015,8:00p,New Orleans Pelicans,94,Chicago Bulls,98,Box Score,,21605,
Sat Dec 12 2015,8:00p,Los Angeles Lakers,97,Houston Rockets,126,Box Score,,18456,
Sat Dec 12 2015,8:30p,Washington Wizards,114,Dallas Mavericks,111,Box Score,,20088,
Sat Dec 12 2015,8:30p,Golden State Warriors,95,Milwaukee Bucks,108,Box Score,,18717,
Sat Dec 12 2015,10:00p,New York Knicks,112,Portland Trail Blazers,110,Box Score,,19511,
Sun Dec 13 2015,3:30p,Minnesota Timberwolves,101,Phoenix Suns,108,Box Score,,16919,
Sun Dec 13 2015,6:00p,Memphis Grizzlies,97,Miami Heat,100,Box Score,,19813,
Sun Dec 13 2015,6:00p,Philadelphia 76ers,76,Toronto Raptors,96,Box Score,,19800,
Sun Dec 13 2015,7:00p,Utah Jazz,98,Oklahoma City Thunder,104,Box Score,OT,18203,
Mon Dec 14 2015,7:00p,Toronto Raptors,90,Indiana Pacers,106,Box Score,,16598,
Mon Dec 14 2015,7:30p,Orlando Magic,105,Brooklyn Nets,82,Box Score,,12946,
Mon Dec 14 2015,7:30p,Los Angeles Clippers,105,Detroit Pistons,103,Box Score,OT,13525,
Mon Dec 14 2015,8:00p,Miami Heat,100,Atlanta Hawks,88,Box Score,,15039,
Mon Dec 14 2015,8:00p,Philadelphia 76ers,96,Chicago Bulls,115,Box Score,,21166,
Mon Dec 14 2015,8:00p,Washington Wizards,95,Memphis Grizzlies,112,Box Score,,15397,
Mon Dec 14 2015,8:30p,Phoenix Suns,94,Dallas Mavericks,104,Box Score,,19822,
Mon Dec 14 2015,8:30p,Utah Jazz,81,San Antonio Spurs,118,Box Score,,18418,
Mon Dec 14 2015,9:00p,Houston Rockets,108,Denver Nuggets,114,Box Score,,12022,
Mon Dec 14 2015,10:00p,New Orleans Pelicans,101,Portland Trail Blazers,105,Box Score,,19231,
Tue Dec 15 2015,7:30p,Cleveland Cavaliers,89,Boston Celtics,77,Box Score,,18624,
Tue Dec 15 2015,8:00p,Denver Nuggets,112,Minnesota Timberwolves,100,Box Score,,11323,
Tue Dec 15 2015,10:00p,Houston Rockets,97,Sacramento Kings,107,Box Score,,17317,
Tue Dec 15 2015,10:30p,Milwaukee Bucks,95,Los Angeles Lakers,113,Box Score,,18997,
Wed Dec 16 2015,7:00p,Dallas Mavericks,81,Indiana Pacers,107,Box Score,,14824,
Wed Dec 16 2015,7:00p,Charlotte Hornets,98,Orlando Magic,113,Box Score,,16019,
Wed Dec 16 2015,7:30p,Miami Heat,104,Brooklyn Nets,98,Box Score,,15113,
Wed Dec 16 2015,7:30p,Boston Celtics,116,Detroit Pistons,119,Box Score,,13120,
Wed Dec 16 2015,7:30p,Minnesota Timberwolves,102,New York Knicks,107,Box Score,,19812,
Wed Dec 16 2015,8:00p,Philadelphia 76ers,106,Atlanta Hawks,127,Box Score,,14827,
Wed Dec 16 2015,8:00p,Memphis Grizzlies,85,Chicago Bulls,98,Box Score,,21032,
Wed Dec 16 2015,8:00p,Portland Trail Blazers,90,Oklahoma City Thunder,106,Box Score,,18203,
Wed Dec 16 2015,8:30p,Washington Wizards,95,San Antonio Spurs,114,Box Score,,18418,
Wed Dec 16 2015,9:00p,New Orleans Pelicans,104,Utah Jazz,94,Box Score,,17899,
Wed Dec 16 2015,10:30p,Phoenix Suns,103,Golden State Warriors,128,Box Score,,19596,
Wed Dec 16 2015,10:30p,Milwaukee Bucks,90,Los Angeles Clippers,103,Box Score,,19060,
Thu Dec 17 2015,7:00p,Toronto Raptors,99,Charlotte Hornets,109,Box Score,OT,15817,
Thu Dec 17 2015,8:00p,Oklahoma City Thunder,100,Cleveland Cavaliers,104,Box Score,,20562,
Thu Dec 17 2015,10:30p,Houston Rockets,107,Los Angeles Lakers,87,Box Score,,18997,
Fri Dec 18 2015,7:00p,Brooklyn Nets,97,Indiana Pacers,104,Box Score,,16548,
Fri Dec 18 2015,7:00p,Portland Trail Blazers,94,Orlando Magic,102,Box Score,,17156,
Fri Dec 18 2015,7:00p,New York Knicks,107,Philadelphia 76ers,97,Box Score,,17880,
Fri Dec 18 2015,7:30p,Atlanta Hawks,109,Boston Celtics,101,Box Score,,18624,
Fri Dec 18 2015,8:00p,Detroit Pistons,147,Chicago Bulls,144,Box Score,4OT,21534,
Fri Dec 18 2015,8:00p,Toronto Raptors,108,Miami Heat,94,Box Score,,19600,
Fri Dec 18 2015,8:00p,Sacramento Kings,95,Minnesota Timberwolves,99,Box Score,,12770,
Fri Dec 18 2015,8:00p,Los Angeles Clippers,107,San Antonio Spurs,115,Box Score,,18418,
Fri Dec 18 2015,8:30p,Memphis Grizzlies,88,Dallas Mavericks,97,Box Score,,20199,
Fri Dec 18 2015,9:00p,Denver Nuggets,88,Utah Jazz,97,Box Score,,19169,
Fri Dec 18 2015,10:30p,Milwaukee Bucks,112,Golden State Warriors,121,Box Score,,19596,
Fri Dec 18 2015,10:30p,New Orleans Pelicans,88,Phoenix Suns,104,Box Score,,17227,
Sat Dec 19 2015,5:00p,Los Angeles Lakers,78,Oklahoma City Thunder,118,Box Score,,18203,
Sat Dec 19 2015,7:00p,Charlotte Hornets,101,Washington Wizards,109,Box Score,,16987,
Sat Dec 19 2015,7:30p,Chicago Bulls,91,New York Knicks,107,Box Score,,19812,
Sat Dec 19 2015,8:00p,Los Angeles Clippers,97,Houston Rockets,107,Box Score,,18212,
Sat Dec 19 2015,8:00p,Indiana Pacers,84,Memphis Grizzlies,96,Box Score,,18119,
Sun Dec 20 2015,1:00p,Minnesota Timberwolves,100,Brooklyn Nets,85,Box Score,,14552,
Sun Dec 20 2015,1:00p,Portland Trail Blazers,109,Miami Heat,116,Box Score,,19600,
Sun Dec 20 2015,3:30p,Philadelphia 76ers,86,Cleveland Cavaliers,108,Box Score,,20562,
Sun Dec 20 2015,5:00p,Milwaukee Bucks,101,Phoenix Suns,95,Box Score,,16859,
Sun Dec 20 2015,6:00p,Atlanta Hawks,103,Orlando Magic,100,Box Score,,16982,
Sun Dec 20 2015,6:00p,Sacramento Kings,104,Toronto Raptors,94,Box Score,,19800,
Sun Dec 20 2015,8:00p,New Orleans Pelicans,130,Denver Nuggets,125,Box Score,,13857,
Mon Dec 21 2015,7:00p,Sacramento Kings,99,Washington Wizards,113,Box Score,,15124,
Mon Dec 21 2015,7:30p,Minnesota Timberwolves,99,Boston Celtics,113,Box Score,,18624,
Mon Dec 21 2015,7:30p,Orlando Magic,107,New York Knicks,99,Box Score,,19812,
Mon Dec 21 2015,8:00p,Portland Trail Blazers,97,Atlanta Hawks,106,Box Score,,18373,
Mon Dec 21 2015,8:00p,Brooklyn Nets,105,Chicago Bulls,102,Box Score,,21825,
Mon Dec 21 2015,8:00p,Charlotte Hornets,95,Houston Rockets,102,Box Score,,18236,
Mon Dec 21 2015,8:30p,Indiana Pacers,92,San Antonio Spurs,106,Box Score,,18418,
Mon Dec 21 2015,9:00p,Phoenix Suns,89,Utah Jazz,110,Box Score,,19911,
Mon Dec 21 2015,10:30p,Oklahoma City Thunder,100,Los Angeles Clippers,99,Box Score,,19415,
Tue Dec 22 2015,7:00p,Memphis Grizzlies,104,Philadelphia 76ers,90,Box Score,,15552,
Tue Dec 22 2015,7:30p,Detroit Pistons,93,Miami Heat,92,Box Score,,19901,
Tue Dec 22 2015,7:30p,Dallas Mavericks,99,Toronto Raptors,103,Box Score,,19800,
Tue Dec 22 2015,9:00p,Los Angeles Lakers,111,Denver Nuggets,107,Box Score,,19124,
Wed Dec 23 2015,7:00p,Boston Celtics,102,Charlotte Hornets,89,Box Score,,19082,
Wed Dec 23 2015,7:00p,New York Knicks,84,Cleveland Cavaliers,91,Box Score,,20562,
Wed Dec 23 2015,7:00p,Sacramento Kings,108,Indiana Pacers,106,Box Score,,18165,
Wed Dec 23 2015,7:00p,Houston Rockets,101,Orlando Magic,104,Box Score,,17061,
Wed Dec 23 2015,7:00p,Memphis Grizzlies,91,Washington Wizards,100,Box Score,,15879,
Wed Dec 23 2015,7:30p,Dallas Mavericks,119,Brooklyn Nets,118,Box Score,OT,15994,
Wed Dec 23 2015,8:00p,Detroit Pistons,100,Atlanta Hawks,107,Box Score,,17575,
Wed Dec 23 2015,8:00p,Philadelphia 76ers,100,Milwaukee Bucks,113,Box Score,,15754,
Wed Dec 23 2015,8:00p,San Antonio Spurs,108,Minnesota Timberwolves,83,Box Score,,16788,
Wed Dec 23 2015,8:00p,Portland Trail Blazers,89,New Orleans Pelicans,115,Box Score,,16686,
Wed Dec 23 2015,9:00p,Denver Nuggets,104,Phoenix Suns,96,Box Score,,17034,
Wed Dec 23 2015,10:30p,Utah Jazz,85,Golden State Warriors,103,Box Score,,19596,
Wed Dec 23 2015,10:30p,Oklahoma City Thunder,120,Los Angeles Lakers,85,Box Score,,18997,
Fri Dec 25 2015,12:00p,New Orleans Pelicans,88,Miami Heat,94,Box Score,OT,19845,
Fri Dec 25 2015,2:30p,Chicago Bulls,105,Oklahoma City Thunder,96,Box Score,,18203,
Fri Dec 25 2015,5:00p,Cleveland Cavaliers,83,Golden State Warriors,89,Box Score,,19596,
Fri Dec 25 2015,8:00p,San Antonio Spurs,84,Houston Rockets,88,Box Score,,18319,
Fri Dec 25 2015,10:30p,Los Angeles Clippers,94,Los Angeles Lakers,84,Box Score,,18997,
Sat Dec 26 2015,4:00p,Washington Wizards,111,Brooklyn Nets,96,Box Score,,17732,
Sat Dec 26 2015,5:00p,Toronto Raptors,111,Milwaukee Bucks,90,Box Score,,16329,
Sat Dec 26 2015,7:00p,Memphis Grizzlies,92,Charlotte Hornets,98,Box Score,,19091,
Sat Dec 26 2015,7:00p,Houston Rockets,108,New Orleans Pelicans,110,Box Score,,18248,
Sat Dec 26 2015,7:00p,Miami Heat,108,Orlando Magic,101,Box Score,,18846,
Sat Dec 26 2015,7:30p,New York Knicks,98,Atlanta Hawks,117,Box Score,,19015,
Sat Dec 26 2015,7:30p,Boston Celtics,99,Detroit Pistons,93,Box Score,,18288,
Sat Dec 26 2015,8:00p,Indiana Pacers,102,Minnesota Timberwolves,88,Box Score,,15076,
Sat Dec 26 2015,8:30p,Chicago Bulls,111,Dallas Mavericks,118,Box Score,,20392,
Sat Dec 26 2015,8:30p,Denver Nuggets,86,San Antonio Spurs,101,Box Score,,18420,
Sat Dec 26 2015,9:00p,Philadelphia 76ers,111,Phoenix Suns,104,Box Score,,17548,
Sat Dec 26 2015,9:00p,Los Angeles Clippers,109,Utah Jazz,104,Box Score,,19911,
Sat Dec 26 2015,10:00p,Cleveland Cavaliers,76,Portland Trail Blazers,105,Box Score,,19393,
Sun Dec 27 2015,6:00p,Los Angeles Lakers,96,Memphis Grizzlies,112,Box Score,,18119,
Sun Dec 27 2015,7:00p,New York Knicks,91,Boston Celtics,100,Box Score,,18624,
Sun Dec 27 2015,7:00p,Denver Nuggets,112,Oklahoma City Thunder,122,Box Score,,18203,
Sun Dec 27 2015,9:00p,Portland Trail Blazers,98,Sacramento Kings,94,Box Score,,17317,
Mon Dec 28 2015,7:00p,Los Angeles Lakers,98,Charlotte Hornets,108,Box Score,,19632,
Mon Dec 28 2015,7:00p,Atlanta Hawks,87,Indiana Pacers,93,Box Score,,18165,
Mon Dec 28 2015,7:00p,New Orleans Pelicans,89,Orlando Magic,104,Box Score,,17606,
Mon Dec 28 2015,7:00p,Los Angeles Clippers,108,Washington Wizards,91,Box Score,,20356,
Mon Dec 28 2015,7:30p,Brooklyn Nets,111,Miami Heat,105,Box Score,,19975,
Mon Dec 28 2015,8:00p,Toronto Raptors,97,Chicago Bulls,104,Box Score,,21898,
Mon Dec 28 2015,8:30p,Milwaukee Bucks,93,Dallas Mavericks,103,Box Score,,20300,
Mon Dec 28 2015,8:30p,Minnesota Timberwolves,95,San Antonio Spurs,101,Box Score,,18493,
Mon Dec 28 2015,9:00p,Cleveland Cavaliers,101,Phoenix Suns,97,Box Score,,18319,
Mon Dec 28 2015,9:00p,Philadelphia 76ers,91,Utah Jazz,95,Box Score,,19911,
Mon Dec 28 2015,10:30p,Sacramento Kings,103,Golden State Warriors,122,Box Score,,19596,
Tue Dec 29 2015,7:30p,Detroit Pistons,96,New York Knicks,108,Box Score,,19812,
Tue Dec 29 2015,8:00p,Atlanta Hawks,121,Houston Rockets,115,Box Score,,18211,
Tue Dec 29 2015,8:00p,Miami Heat,90,Memphis Grizzlies,99,Box Score,OT,18119,
Tue Dec 29 2015,8:00p,Milwaukee Bucks,123,Oklahoma City Thunder,131,Box Score,,18203,
Tue Dec 29 2015,9:00p,Cleveland Cavaliers,93,Denver Nuggets,87,Box Score,,17523,
Wed Dec 30 2015,7:00p,Los Angeles Clippers,122,Charlotte Hornets,117,Box Score,,19145,
Wed Dec 30 2015,7:00p,Brooklyn Nets,93,Orlando Magic,100,Box Score,,18397,
Wed Dec 30 2015,7:30p,Los Angeles Lakers,112,Boston Celtics,104,Box Score,,18624,
Wed Dec 30 2015,7:30p,Washington Wizards,91,Toronto Raptors,94,Box Score,,19800,
Wed Dec 30 2015,8:00p,Indiana Pacers,100,Chicago Bulls,102,Box Score,OT,22206,
Wed Dec 30 2015,8:00p,Utah Jazz,80,Minnesota Timberwolves,94,Box Score,,14326,
Wed Dec 30 2015,8:30p,Golden State Warriors,91,Dallas Mavericks,114,Box Score,,20494,
Wed Dec 30 2015,8:30p,Phoenix Suns,79,San Antonio Spurs,112,Box Score,,18418,
Wed Dec 30 2015,10:00p,Denver Nuggets,103,Portland Trail Blazers,110,Box Score,,19393,
Wed Dec 30 2015,10:00p,Philadelphia 76ers,110,Sacramento Kings,105,Box Score,,17317,
Thu Dec 31 2015,6:00p,Minnesota Timberwolves,90,Detroit Pistons,115,Box Score,,15475,
Thu Dec 31 2015,6:00p,Milwaukee Bucks,120,Indiana Pacers,116,Box Score,,16348,
Thu Dec 31 2015,7:00p,Golden State Warriors,114,Houston Rockets,110,Box Score,,18313,
Thu Dec 31 2015,8:00p,Los Angeles Clippers,95,New Orleans Pelicans,89,Box Score,,16920,
Thu Dec 31 2015,8:00p,Phoenix Suns,106,Oklahoma City Thunder,110,Box Score,,18203,
Thu Dec 31 2015,9:00p,Portland Trail Blazers,96,Utah Jazz,109,Box Score,,19380,
Fri Jan 1 2016,7:00p,Orlando Magic,91,Washington Wizards,103,Box Score,,16986,
Fri Jan 1 2016,7:30p,Dallas Mavericks,82,Miami Heat,106,Box Score,,19748,
Fri Jan 1 2016,7:30p,Charlotte Hornets,94,Toronto Raptors,104,Box Score,,19800,
Fri Jan 1 2016,8:00p,New York Knicks,81,Chicago Bulls,108,Box Score,,22443,
Fri Jan 1 2016,10:30p,Philadelphia 76ers,84,Los Angeles Lakers,93,Box Score,,18997,
Sat Jan 2 2016,3:00p,Brooklyn Nets,100,Boston Celtics,97,Box Score,,18624,
Sat Jan 2 2016,5:00p,Phoenix Suns,119,Sacramento Kings,142,Box Score,,17317,
Sat Jan 2 2016,7:00p,Oklahoma City Thunder,109,Charlotte Hornets,90,Box Score,,19387,
Sat Jan 2 2016,7:00p,Detroit Pistons,82,Indiana Pacers,94,Box Score,,18165,
Sat Jan 2 2016,7:30p,Orlando Magic,79,Cleveland Cavaliers,104,Box Score,,20562,
Sat Jan 2 2016,8:00p,Milwaukee Bucks,95,Minnesota Timberwolves,85,Box Score,,14107,
Sat Jan 2 2016,8:30p,New Orleans Pelicans,105,Dallas Mavericks,98,Box Score,,20152,
Sat Jan 2 2016,8:30p,Houston Rockets,103,San Antonio Spurs,121,Box Score,,18652,
Sat Jan 2 2016,9:00p,Memphis Grizzlies,87,Utah Jazz,92,Box Score,OT,18455,
Sat Jan 2 2016,10:30p,Denver Nuggets,108,Golden State Warriors,111,Box Score,OT,19596,
Sat Jan 2 2016,10:30p,Philadelphia 76ers,99,Los Angeles Clippers,130,Box Score,,19212,
Sun Jan 3 2016,3:30p,Atlanta Hawks,97,New York Knicks,111,Box Score,,19812,
Sun Jan 3 2016,3:30p,Chicago Bulls,115,Toronto Raptors,113,Box Score,,19800,
Sun Jan 3 2016,6:00p,Miami Heat,97,Washington Wizards,75,Box Score,,17793,
Sun Jan 3 2016,9:00p,Portland Trail Blazers,112,Denver Nuggets,106,Box Score,,11883,
Sun Jan 3 2016,9:30p,Phoenix Suns,77,Los Angeles Lakers,97,Box Score,,18997,
Mon Jan 4 2016,7:00p,Toronto Raptors,100,Cleveland Cavaliers,122,Box Score,,20562,
Mon Jan 4 2016,7:00p,Minnesota Timberwolves,99,Philadelphia 76ers,109,Box Score,,14013,
Mon Jan 4 2016,7:30p,Boston Celtics,103,Brooklyn Nets,94,Box Score,,15448,
Mon Jan 4 2016,7:30p,Orlando Magic,89,Detroit Pistons,115,Box Score,,14301,
Mon Jan 4 2016,7:30p,Indiana Pacers,100,Miami Heat,103,Box Score,OT,19874,
Mon Jan 4 2016,8:00p,San Antonio Spurs,123,Milwaukee Bucks,98,Box Score,,14718,
Mon Jan 4 2016,8:00p,Sacramento Kings,116,Oklahoma City Thunder,104,Box Score,,18203,
Mon Jan 4 2016,9:00p,Houston Rockets,93,Utah Jazz,91,Box Score,,17912,
Mon Jan 4 2016,10:00p,Memphis Grizzlies,91,Portland Trail Blazers,78,Box Score,,18832,
Mon Jan 4 2016,10:30p,Charlotte Hornets,101,Golden State Warriors,111,Box Score,,19596,
Tue Jan 5 2016,8:00p,New York Knicks,107,Atlanta Hawks,101,Box Score,,15082,
Tue Jan 5 2016,8:00p,Milwaukee Bucks,106,Chicago Bulls,117,Box Score,,21686,
Tue Jan 5 2016,8:30p,Sacramento Kings,116,Dallas Mavericks,117,Box Score,2OT,20059,
Tue Jan 5 2016,10:30p,Golden State Warriors,109,Los Angeles Lakers,88,Box Score,,18997,
Wed Jan 6 2016,7:00p,New York Knicks,98,Miami Heat,90,Box Score,,19987,
Wed Jan 6 2016,7:00p,Indiana Pacers,95,Orlando Magic,86,Box Score,,18846,
Wed Jan 6 2016,7:00p,Cleveland Cavaliers,121,Washington Wizards,115,Box Score,,20356,
Wed Jan 6 2016,7:30p,Detroit Pistons,99,Boston Celtics,94,Box Score,,18624,
Wed Jan 6 2016,7:30p,Toronto Raptors,91,Brooklyn Nets,74,Box Score,,14544,
Wed Jan 6 2016,8:00p,Denver Nuggets,78,Minnesota Timberwolves,74,Box Score,,12059,
Wed Jan 6 2016,8:00p,Dallas Mavericks,100,New Orleans Pelicans,91,Box Score,,15255,
Wed Jan 6 2016,8:30p,Utah Jazz,98,San Antonio Spurs,123,Box Score,,18418,
Wed Jan 6 2016,9:00p,Charlotte Hornets,102,Phoenix Suns,111,Box Score,,16910,
Wed Jan 6 2016,9:30p,Memphis Grizzlies,94,Oklahoma City Thunder,112,Box Score,,18203,
Wed Jan 6 2016,10:00p,Los Angeles Clippers,109,Portland Trail Blazers,98,Box Score,,18598,
Thu Jan 7 2016,7:00p,Atlanta Hawks,126,Philadelphia 76ers,98,Box Score,,12611,
Thu Jan 7 2016,8:00p,Boston Celtics,92,Chicago Bulls,101,Box Score,,21497,
Thu Jan 7 2016,8:00p,Utah Jazz,94,Houston Rockets,103,Box Score,,18155,
Thu Jan 7 2016,10:30p,Los Angeles Lakers,115,Sacramento Kings,118,Box Score,,17386,
Fri Jan 8 2016,7:00p,Toronto Raptors,97,Washington Wizards,88,Box Score,,17064,
Fri Jan 8 2016,7:30p,Orlando Magic,83,Brooklyn Nets,77,Box Score,,13907,
Fri Jan 8 2016,8:00p,Denver Nuggets,84,Memphis Grizzlies,91,Box Score,,17499,
Fri Jan 8 2016,8:00p,Dallas Mavericks,95,Milwaukee Bucks,96,Box Score,,16409,
Fri Jan 8 2016,8:00p,Cleveland Cavaliers,125,Minnesota Timberwolves,99,Box Score,,16768,
Fri Jan 8 2016,8:00p,Indiana Pacers,91,New Orleans Pelicans,86,Box Score,,16895,
Fri Jan 8 2016,8:30p,New York Knicks,99,San Antonio Spurs,100,Box Score,,18420,
Fri Jan 8 2016,9:30p,Miami Heat,103,Phoenix Suns,95,Box Score,,16866,
Fri Jan 8 2016,10:00p,Golden State Warriors,128,Portland Trail Blazers,108,Box Score,,20035,
Fri Jan 8 2016,10:30p,Oklahoma City Thunder,117,Los Angeles Lakers,113,Box Score,,18997,
Sat Jan 9 2016,3:30p,Charlotte Hornets,83,Los Angeles Clippers,97,Box Score,,19060,
Sat Jan 9 2016,5:00p,Chicago Bulls,105,Atlanta Hawks,120,Box Score,,19010,
